Table Name,Field Name,Field Type,Field Description
AADNonInteractiveUserSignInLogs,AuthenticationProcessingDetails,string,Provides the details associated with authentication processor.
AADNonInteractiveUserSignInLogs,AuthenticationProtocol,string,"Lists the protocol type or grant type used in the authentication. The possible values are: none, oAuth2, ropc, wsFederation, saml20, deviceCode, unknownFutureValue. For authentications that use protocols other than the possible values listed, the protocol type is listed as none."
AADNonInteractiveUserSignInLogs,AuthenticationRequirement,string,"Type of authentication required for the sign-in. If set to multiFactorAuthentication, an MFA step was required. If set to singleFactorAuthentication, no MFA was required."
AADNonInteractiveUserSignInLogs,AuthenticationRequirementPolicies,string,"Set of CA policies that apply to this sign-in, each as CA: policy name, and/or MFA: Per-user."
AADNonInteractiveUserSignInLogs,AuthenticatorAppLocation,string,The location of the authenticator app.
AADNonInteractiveUserSignInLogs,AutonomousSystemNumber,string,Autonomous System Number for the network.
AADNonInteractiveUserSignInLogs,_BilledSize,real,The record size in bytes
AADNonInteractiveUserSignInLogs,Category,string,Category of the sign-in event.
AADNonInteractiveUserSignInLogs,ClientAppUsed,string,"Details outlining app auth used (Legacy vs non Legacy) Eg: Modern Browser, Native App, Exchange Activty Sync and Older Clients."
AADNonInteractiveUserSignInLogs,ClientCredentialType,string,"The type of client credential used. Examples include client assertion, client secret, etc."
AADNonInteractiveUserSignInLogs,ClientSessionId,string,The client session ID associated with the sign-in.
AADNonInteractiveUserSignInLogs,ConditionalAccessAudiences,string,Details of the conditional access audiences being applied for the sign-in.
AADNonInteractiveUserSignInLogs,ConditionalAccessPolicies,string,Details of the conditional access policies being applied for the sign-in.
AADNonInteractiveUserSignInLogs,ConditionalAccessStatus,string,Status of all the conditionalAccess policies related to the sign-in.
AADNonInteractiveUserSignInLogs,CorrelationId,string,ID to provide sign-in trail.
AADNonInteractiveUserSignInLogs,CreatedDateTime,datetime,Datetime of the sign-in activity.
AADNonInteractiveUserSignInLogs,CrossTenantAccessType,string,"Describes the type of cross-tenant access used by the actor to access the resource. Possible values are: none, b2bCollaboration, b2bDirectConnect, microsoftSupport, serviceProvider, unknownFutureValue. If the sign in did not cross tenant boundaries, the value is none."
AADNonInteractiveUserSignInLogs,DeviceDetail,string,Details of the device used for the sign-in.
AADNonInteractiveUserSignInLogs,DurationMs,long,The duration of the operation in milliseconds.
AADNonInteractiveUserSignInLogs,FederatedCredentialId,string,Federated Credential Id.
AADNonInteractiveUserSignInLogs,GlobalSecureAccessIpAddress,string,Global secure IP address that user signed in from.
AADNonInteractiveUserSignInLogs,HomeTenantId,string,The home tenant ID for cross-tenant scenarios.
AADNonInteractiveUserSignInLogs,HomeTenantName,string,The tenant name of the external tenant who homes the entitity taking action in the customer's tenant.
AADNonInteractiveUserSignInLogs,Id,string,Unique ID representing the sign-in activity.
AADNonInteractiveUserSignInLogs,Identity,string,"The identity from the token that was presented when you made the request. It can be a user account, system account, or service principal."
AADNonInteractiveUserSignInLogs,IncomingTokenType,string,"The type of token utilized to signIn (examples: primary refresh token, saml assertion)."
AADNonInteractiveUserSignInLogs,IPAddress,string,IP address of the client used to sign in.
AADNonInteractiveUserSignInLogs,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AADNonInteractiveUserSignInLogs,IsInteractive,bool,Indicates if a sign-in is interactive or not.
AADNonInteractiveUserSignInLogs,IsRisky,bool,Indicates if a sign-in is considered risky or not.
AADNonInteractiveUserSignInLogs,IsTenantRestricted,bool,Indicates if a signIn is under a tenant restrictions policy or not.
AADNonInteractiveUserSignInLogs,IsThroughGlobalSecureAccess,bool,Displays whether or not a user came through Global Secure Access service or not.
AADNonInteractiveUserSignInLogs,Level,string,The severity level of the event.
AADNonInteractiveUserSignInLogs,Location,string,The region of the resource emitting the event.
AADNonInteractiveUserSignInLogs,LocationDetails,string,Details of the sign-in location.
AADNonInteractiveUserSignInLogs,MfaDetail,string,Details of the Multi-factor authentication.
AADNonInteractiveUserSignInLogs,NetworkLocationDetails,string,Provides the details associated with authentication processor.
AADNonInteractiveUserSignInLogs,OperationName,string,"For sign-ins, this value is always Sign-in activity."
AADNonInteractiveUserSignInLogs,OperationVersion,string,The REST API version that's requested by the client.
AADNonInteractiveUserSignInLogs,OriginalRequestId,string,The request id of the first request in the authentication sequence.
AADNonInteractiveUserSignInLogs,OriginalTransferMethod,string,Transfer method used to initiate a session throughout all subsequent requests.
AADNonInteractiveUserSignInLogs,ProcessingTimeInMs,string,Request processing time in milliseconds in AD STS.
AADNonInteractiveUserSignInLogs,ResourceDisplayName,string,Name of the resource that the user signed into.
AADNonInteractiveUserSignInLogs,ResourceGroup,string,Resource group for the logs.
AADNonInteractiveUserSignInLogs,ResourceIdentity,string,ID of the resource that the user signed into.
AADNonInteractiveUserSignInLogs,ResourceOwnerTenantId,string,The tenant identifier of the owner of the resource referenced in the sign in.
AADNonInteractiveUserSignInLogs,ResourceServicePrincipalId,string,Service Principal Id of the resource.
AADNonInteractiveUserSignInLogs,ResourceTenantId,string,The resource tenant ID for cross-tenant scenarios.
AADNonInteractiveUserSignInLogs,ResultDescription,string,Provides the error description for the sign-in operation.
AADNonInteractiveUserSignInLogs,ResultSignature,string,"Contains the error code, if any, for the sign-in operation."
AADNonInteractiveUserSignInLogs,ResultType,string,The result of the sign-in operation can be Success or Failure.
AADNonInteractiveUserSignInLogs,RiskDetail,string,Risky user state details.
AADNonInteractiveUserSignInLogs,RiskEventTypes,string,The list of risk event types associated with the sign-in.
AADNonInteractiveUserSignInLogs,RiskEventTypes_V2,string,The list of risk event types associated with the sign-in. These are strings.
AADNonInteractiveUserSignInLogs,RiskLevelAggregated,string,Aggregated risk level.
AADNonInteractiveUserSignInLogs,RiskLevelDuringSignIn,string,Risk level during sign-in.
AADNonInteractiveUserSignInLogs,RiskState,string,Risky user state.
AADNonInteractiveUserSignInLogs,ServicePrincipalId,string,ID of the service principal who initiated the sign-in.
AADNonInteractiveUserSignInLogs,SessionId,string,Id of the session that was generated during the signIn.
AADNonInteractiveUserSignInLogs,SessionLifetimePolicies,string,Policies and settings that applied to the sign-in that enforced or revoked a session lifetime.
AADNonInteractiveUserSignInLogs,SignInEventTypes,string,"The types that are associated with the sign-in. Examples include ""interactive"", ""refreshToken"", ""managedIdentity"", ""continuousAccessEvaluation"" and many more."
AADNonInteractiveUserSignInLogs,SignInIdentifierType,string,"The type of sign in identifier. Possible values are: userPrincipalName, phoneNumber, proxyAddress, qrCode, onPremisesUserPrincipalName, unknownFutureValue."
AADNonInteractiveUserSignInLogs,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AADNonInteractiveUserSignInLogs,Status,string,Details of the sign-in status.
AADNonInteractiveUserSignInLogs,TenantId,string,The Log Analytics workspace ID
AADNonInteractiveUserSignInLogs,TimeGenerated,datetime,The date and time of the event in UTC.
AADNonInteractiveUserSignInLogs,TokenIssuerName,string,Name of the identity provider (e.g. sts.microsoft.com ).
AADNonInteractiveUserSignInLogs,TokenIssuerType,string,"Type of identityProvider (Azure AD, AD Federation Services)."
AADNonInteractiveUserSignInLogs,TokenProtectionStatusDetails,string,Token protection creates a cryptographically secure tie between the token and the device it's issued to. This field indicates whether the signin token was bound to the device or not.
AADNonInteractiveUserSignInLogs,Type,string,The name of the table
AADNonInteractiveUserSignInLogs,UniqueTokenIdentifier,string,Unique token identifier for the request.
AADNonInteractiveUserSignInLogs,UserAgent,string,User Agent for the sign-in.
AADNonInteractiveUserSignInLogs,UserDisplayName,string,Display name of the user that initiated the sign-in.
AADNonInteractiveUserSignInLogs,UserId,string,ID of the user that initiated the sign-in.
AADNonInteractiveUserSignInLogs,UserPrincipalName,string,User principal name of the user that initiated the sign-in.
AADNonInteractiveUserSignInLogs,UserType,string,"Identifies whether the user is a member or guest in the tenant. Possible values are: member, guest, unknownFutureValue."
AADProvisioningLogs,AADTenantId,string,Unique Azure AD tenant ID
AADProvisioningLogs,_BilledSize,real,The record size in bytes
AADProvisioningLogs,Category,string,Category of the event
AADProvisioningLogs,ChangeId,string,Unique ID of this change in this cycle
AADProvisioningLogs,CorrelationId,string,ID to provide provisioning trail
AADProvisioningLogs,CycleId,string,Unique ID per job iteration
AADProvisioningLogs,DurationMs,long,Indicates how long this provisioning action took to finish
AADProvisioningLogs,Id,string,Indicates the unique ID for the activity
AADProvisioningLogs,InitiatedBy,string,Details of who initiated this provisioning
AADProvisioningLogs,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AADProvisioningLogs,JobId,string,The unique ID for the whole provisioning job
AADProvisioningLogs,ModifiedProperties,string,Details of each property that was modified in this provisioning action on this object
AADProvisioningLogs,OperationName,string,Name of the operation
AADProvisioningLogs,OperationVersion,string,The REST API version that's requested by the client
AADProvisioningLogs,ProvisioningAction,string,"Indicates the activity name or the operation name. For a list of activities logged, refer to Azure AD activity list"
AADProvisioningLogs,ProvisioningStatusInfo,string,Details of provisioning status
AADProvisioningLogs,ProvisioningSteps,string,Details of each step in provisioning
AADProvisioningLogs,ResultDescription,string,"When available, provides the error description for the provisioning operation"
AADProvisioningLogs,ResultSignature,string,"Contains the error code, if any, for the provisioning operation"
AADProvisioningLogs,ResultType,string,"The result of the provisioning operation can be Success, Failure, or Skipped"
AADProvisioningLogs,ServicePrincipal,string,Represents the service principal used for provisioning
AADProvisioningLogs,SourceIdentity,string,Details of source object being provisioned
AADProvisioningLogs,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AADProvisioningLogs,TargetIdentity,string,Details of target object being provisioned
AADProvisioningLogs,TargetSystem,string,Details of target system of the object being provisioned
AADProvisioningLogs,TenantId,string,The Log Analytics workspace ID
AADProvisioningLogs,TimeGenerated,datetime,The date and time of the event in UTC
AADProvisioningLogs,Type,string,The name of the table
AADRiskyServicePrincipals,AccountEnabled,bool,"true if the service principal account is enabled; otherwise, false."
AADRiskyServicePrincipals,AppId,string,"The globally unique identifier for the associated application (its appId property), if any."
AADRiskyServicePrincipals,_BilledSize,real,The record size in bytes
AADRiskyServicePrincipals,CorrelationId,string,The ID for correlated log analytics events. Can be used to identify correlated events between multiple tables.
AADRiskyServicePrincipals,DisplayName,string,The display name for the service principal.
AADRiskyServicePrincipals,Id,string,The unique identifier assigned to the service principal at risk. Inherited from entity.
AADRiskyServicePrincipals,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AADRiskyServicePrincipals,IsProcessing,bool,Indicates whether Azure AD is currently processing the service principal's risky state.
AADRiskyServicePrincipals,OperationName,string,Name of the operation.
AADRiskyServicePrincipals,RiskDetail,string,Details of the detected risk.
AADRiskyServicePrincipals,RiskLastUpdatedDateTime,datetime,The date and time that the risk state was last updated in UTC.
AADRiskyServicePrincipals,RiskLevel,string,"Level of the detected risky workload identity. The possible values are: low, medium, high, hidden, none, unknownFutureValue."
AADRiskyServicePrincipals,RiskState,string,"State of the service principal's risk. The possible values are: none, confirmedSafe, remediated, dismissed, atRisk, confirmedCompromised, unknownFutureValue."
AADRiskyServicePrincipals,ServicePrincipalType,string,"Identifies whether the service principal represents an Application, a Managed Identity, or a legacy application (social IdP)."
AADRiskyServicePrincipals,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AADRiskyServicePrincipals,TenantId,string,The Log Analytics workspace ID
AADRiskyServicePrincipals,TimeGenerated,datetime,The date and time of the event in UTC.
AADRiskyServicePrincipals,Type,string,The name of the table
AADRiskyUsers,_BilledSize,real,The record size in bytes
AADRiskyUsers,CorrelationId,string,The ID for correlated log analytics events. Can be used to identify correlated events between multiple tables.
AADRiskyUsers,Id,string,Unique ID of the user at risk.
AADRiskyUsers,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AADRiskyUsers,IsDeleted,bool,Indicates whether the user is deleted.
AADRiskyUsers,IsProcessing,bool,Indicates whether a user's risky state is being processed by the backend.
AADRiskyUsers,OperationName,string,Name of the operation.
AADRiskyUsers,RiskDetail,string,"Details of the detected risk. Possible values are: none, adminGeneratedTemporaryPassword, userPerformedSecuredPasswordChange, userPerformedSecuredPasswordReset, adminConfirmedSigninSafe, aiConfirmedSigninSafe, userPassedMFADrivenByRiskBasedPolicy, adminDismissedAllRiskForUser, adminConfirmedSigninCompromised, hidden, adminConfirmedUserCompromised, unknownFutureValue."
AADRiskyUsers,RiskLastUpdatedDateTime,datetime,The date and time that the risky user was last updated in UTC.
AADRiskyUsers,RiskLevel,string,"Level of the detected risky user. Possible values are: low, medium, high, hidden, none, unknownFutureValue."
AADRiskyUsers,RiskState,string,"State of the user's risk. Possible values are: none, confirmedSafe, remediated, dismissed, atRisk, confirmedCompromised, unknownFutureValue."
AADRiskyUsers,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AADRiskyUsers,TenantId,string,The Log Analytics workspace ID
AADRiskyUsers,TimeGenerated,datetime,The date and time of the event in UTC.
AADRiskyUsers,Type,string,The name of the table
AADRiskyUsers,UserDisplayName,string,Risky user display name.
AADRiskyUsers,UserPrincipalName,string,Risky user principal name.
AADServicePrincipalRiskEvents,Activity,string,Indicates the activity type the detected risk is linked to.
AADServicePrincipalRiskEvents,ActivityDateTime,datetime,Date and time when the risky activity occurred in UTC.
AADServicePrincipalRiskEvents,AdditionalInfo,dynamic,Additional information associated with the risk detection in JSON format.
AADServicePrincipalRiskEvents,AppId,string,The unique identifier for the associated application.
AADServicePrincipalRiskEvents,_BilledSize,real,The record size in bytes
AADServicePrincipalRiskEvents,CorrelationId,string,Correlation ID of the sign-in activity associated with the risk detection. Nullable.
AADServicePrincipalRiskEvents,DetectedDateTime,datetime,Date and time when the risk was detected in UTC.
AADServicePrincipalRiskEvents,DetectionTimingType,string,"Timing of the detected risk , whether real-time or offline."
AADServicePrincipalRiskEvents,Id,string,Unique identifier of the risk detection. Inherited from entity.
AADServicePrincipalRiskEvents,IpAddress,string,Provides the IP address of the client from where the risk occurred.
AADServicePrincipalRiskEvents,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AADServicePrincipalRiskEvents,KeyIds,dynamic,The unique identifier (GUID) for the key credential associated with the risk detection.
AADServicePrincipalRiskEvents,LastUpdatedDateTime,datetime,Date and time when the risk detection was last updated in UTC.
AADServicePrincipalRiskEvents,Location,dynamic,Location of the sign-in.
AADServicePrincipalRiskEvents,OperationName,string,Name of the operation.
AADServicePrincipalRiskEvents,RequestId,string,Request identifier of the sign-in activity associated with the risk detection. Nullable.
AADServicePrincipalRiskEvents,RiskDetail,string,Details of the detected risk. Note: Details for this property are only available for Azure AD Premium P2 customers.
AADServicePrincipalRiskEvents,RiskEventType,string,The type of risk event detected.
AADServicePrincipalRiskEvents,RiskLevel,string,Level of the detected risk. Note: details for this property are only available for Azure AD Premium P2 customers.
AADServicePrincipalRiskEvents,RiskState,string,The state of a detected risky service principal or sign-in activity.
AADServicePrincipalRiskEvents,ServicePrincipalDisplayName,string,The display name for the service principal.
AADServicePrincipalRiskEvents,ServicePrincipalId,string,The unique identifier for the service principal.
AADServicePrincipalRiskEvents,Source,string,"Source of the risk detection. For example, identityProtection."
AADServicePrincipalRiskEvents,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AADServicePrincipalRiskEvents,TenantId,string,The Log Analytics workspace ID
AADServicePrincipalRiskEvents,TimeGenerated,datetime,The date and time of the event in UTC.
AADServicePrincipalRiskEvents,TokenIssuerType,string,Indicates the type of token issuer for the detected sign-in risk.
AADServicePrincipalRiskEvents,Type,string,The name of the table
AADServicePrincipalSignInLogs,AADTenantId,string,ID of the AAD tenant.
AADServicePrincipalSignInLogs,Agent,string,Details of agentic sign-in.
AADServicePrincipalSignInLogs,AppId,string,Unique GUID representing the app ID in the Azure Active Directory
AADServicePrincipalSignInLogs,AppOwnerTenantId,string,The tenant identifier of the owenr of the application in Azure Active Directory
AADServicePrincipalSignInLogs,AuthenticationContextClassReferences,string,The authentication contexts of the sign-in
AADServicePrincipalSignInLogs,AuthenticationProcessingDetails,string,Provides the details associated with authentication processor
AADServicePrincipalSignInLogs,AutonomousSystemNumber,string,Autonomous System Number for the network.
AADServicePrincipalSignInLogs,_BilledSize,real,The record size in bytes
AADServicePrincipalSignInLogs,Category,string,Category of the sign-in event
AADServicePrincipalSignInLogs,ClientCredentialType,string,"The type of client credential used. Examples include client assertion, client secret, etc."
AADServicePrincipalSignInLogs,ConditionalAccessAudiences,string,Details of the conditional access audiences being applied for the sign-in.
AADServicePrincipalSignInLogs,ConditionalAccessPolicies,string,Details of the conditional access policies being applied for the sign-in
AADServicePrincipalSignInLogs,ConditionalAccessStatus,string,Status of all the conditionalAccess policies related to the sign-in
AADServicePrincipalSignInLogs,CorrelationId,string,ID to provide sign-in trail
AADServicePrincipalSignInLogs,CreatedDateTime,datetime,Datetime of the sign-in activity.
AADServicePrincipalSignInLogs,DurationMs,long,The duration of the operation in milliseconds
AADServicePrincipalSignInLogs,FederatedCredentialId,string,Th identifier of an application's federated identity credential if a federated identity credential was used to sign in.
AADServicePrincipalSignInLogs,Id,string,Unique ID representing the sign-in activity
AADServicePrincipalSignInLogs,Identity,string,"The identity from the token that was presented when you made the request. It can be a user account, system account, or service principal"
AADServicePrincipalSignInLogs,IPAddress,string,IP address of the client used to sign in
AADServicePrincipalSignInLogs,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AADServicePrincipalSignInLogs,Level,string,The severity level of the event
AADServicePrincipalSignInLogs,Location,string,The region of the resource emitting the event
AADServicePrincipalSignInLogs,LocationDetails,string,Details of the sign-in location
AADServicePrincipalSignInLogs,NetworkLocationDetails,string,Provides the details associated with Authentication processor.
AADServicePrincipalSignInLogs,OperationName,string,"For sign-ins, this value is always Sign-in activity"
AADServicePrincipalSignInLogs,OperationVersion,string,The REST API version that's requested by the client
AADServicePrincipalSignInLogs,ResourceDisplayName,string,Name of the resource that the service principal signed into
AADServicePrincipalSignInLogs,ResourceGroup,string,Resource group for the logs
AADServicePrincipalSignInLogs,ResourceIdentity,string,ID of the resource that the service principal signed into
AADServicePrincipalSignInLogs,ResourceOwnerTenantId,string,The tenant identifier of the owner of the resource referenced in the sign in
AADServicePrincipalSignInLogs,ResourceServicePrincipalId,string,Service Principal Id of the resource
AADServicePrincipalSignInLogs,ResultDescription,string,Provides the error description for the sign-in operation
AADServicePrincipalSignInLogs,ResultSignature,string,"Contains the error code, if any, for the sign-in operation"
AADServicePrincipalSignInLogs,ResultType,string,The result of the sign-in operation can be Success or Failure
AADServicePrincipalSignInLogs,ServicePrincipalCredentialKeyId,string,Key id of the service principal that initiated the sign-in
AADServicePrincipalSignInLogs,ServicePrincipalCredentialThumbprint,string,Thumbprint of the service principal that initiated the sign-in
AADServicePrincipalSignInLogs,ServicePrincipalId,string,ID of the service principal who initiated the sign-in
AADServicePrincipalSignInLogs,ServicePrincipalName,string,Service Principal Name of the service principal who initiated the sign-in
AADServicePrincipalSignInLogs,SessionId,string,Id of the session that was generated during the signIn.
AADServicePrincipalSignInLogs,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AADServicePrincipalSignInLogs,TenantId,string,The Log Analytics workspace ID
AADServicePrincipalSignInLogs,TimeGenerated,datetime,The date and time of the event in UTC
AADServicePrincipalSignInLogs,Type,string,The name of the table
AADServicePrincipalSignInLogs,UniqueTokenIdentifier,string,Unique token identifier for the request
AADServicePrincipalSignInLogs,UserAgent,string,User Agent for the sign-in
AADUserRiskEvents,Activity,string,"Indicates the activity type the detected risk is linked to. Possible values are: signin, user, unknownFutureValue."
AADUserRiskEvents,ActivityDateTime,datetime,Date and time when the risky activity occurred in UTC.
AADUserRiskEvents,AdditionalInfo,dynamic,Additional information associated with the user risk event in JSON format.
AADUserRiskEvents,_BilledSize,real,The record size in bytes
AADUserRiskEvents,CorrelationId,string,Correlation ID of the sign-in associated with the risk detection. This property is null if the risk detection is not associated with a sign-in.
AADUserRiskEvents,DetectedDateTime,datetime,Date and time that the risk was detected in UTC.
AADUserRiskEvents,DetectionTimingType,string,"Timing of the detected risk (real-time/offline). Possible values are: notDefined, realtime, nearRealtime, offline, unknownFutureValue."
AADUserRiskEvents,Id,string,Unique ID of the risk event.
AADUserRiskEvents,IpAddress,string,The IP address of the client from where the risk occurred.
AADUserRiskEvents,_IsBillable,string,Specifies whether ingesting the data is billable. When _IsBillable is false ingestion isn't billed to your Azure account
AADUserRiskEvents,LastUpdatedDateTime,datetime,Date and time when the risk detection was last updated in UTC.
AADUserRiskEvents,Location,dynamic,Location of the sign-in.
AADUserRiskEvents,OperationName,string,Name of the operation.
AADUserRiskEvents,RequestId,string,Request ID of the sign-in associated with the risk detection. This property is null if the risk detection is not associated with a sign-in.
AADUserRiskEvents,RiskDetail,string,"Details of the detected risk. Possible values are: none, adminGeneratedTemporaryPassword, userPerformedSecuredPasswordChange, userPerformedSecuredPasswordReset, adminConfirmedSigninSafe, aiConfirmedSigninSafe, userPassedMFADrivenByRiskBasedPolicy, adminDismissedAllRiskForUser, adminConfirmedSigninCompromised, hidden, adminConfirmedUserCompromised, unknownFutureValue."
AADUserRiskEvents,RiskEventType,string,The type of risk event detected.
AADUserRiskEvents,RiskLevel,string,"Level of the detected risk. Possible values are: low, medium, high, hidden, none, unknownFutureValue."
AADUserRiskEvents,RiskState,string,"The state of a detected risky user or sign-in. Possible values are: none, confirmedSafe, remediated, dismissed, atRisk, confirmedCompromised, unknownFutureValue."
AADUserRiskEvents,Source,string,"Source of the risk detection. For example, activeDirectory."
AADUserRiskEvents,SourceSystem,string,"The type of agent the event was collected by. For example, OpsManager for Windows agent, either direct connect or Operations Manager, Linux for all Linux agents, or Azure for Azure Diagnostics"
AADUserRiskEvents,TenantId,string,The Log Analytics workspace ID
AADUserRiskEvents,TimeGenerated,datetime,The date and time of the event in UTC.
